name,status,number,lat,long
Apatani,Vulnerable,35000,27.5228,93.8177
Galo,Vulnerable,35000,28.1688,94.7433
Korwa,Vulnerable,35000,22.4922,84.1552
Shuar chicham,Definitely endangered,35000,-2.8826,-78.0303
Ticuna,Definitely endangered,35000,-4.3464,-70.0048
Wanka Quechua,Severely endangered,35000,-12.136,-75.2453
Sikuani,Vulnerable,34614,3.4256,-68.8183
Jakaltek (Guatemala),Definitely endangered,34038,15.6685,-91.7111
Liangmai,Vulnerable,34000,25.2794,93.6694
Zeme,Vulnerable,34000,25.5027,93.5595
Highland Mazatec,Vulnerable,33859,18.1307,-96.8436
Thangmi,Definitely endangered,33500,27.6969,86.0057
Nocte,Vulnerable,33000,27.1618,95.7952
Mayo,Critically endangered,32869,26.9114,-109.6271
Lauje,Vulnerable,32000,-0.4531,119.9816
Danuwar,Severely endangered,31849,26.9661,86.3223
Sirmaudi,Critically endangered,31144,30.9823,77.1569
Abaza,Definitely endangered,31000,44.1556,41.9368
Koch,Definitely endangered,31000,25.7603,90.3955
Amis,Vulnerable,30000,23.4456,121.4483
Biak,Vulnerable,30000,-0.3076,131.2207
Bumthang,Vulnerable,30000,27.492,90.7159
Burgenland Croatian,Definitely endangered,30000,47.8435,16.5179
Dzhidi,Definitely endangered,30000,33.5139,48.0102
Judeo-Berber (Israel),Severely endangered,30000,31.6767,34.5684
Kham,Definitely endangered,30000,28.4321,82.9635
Ladin,Definitely endangered,30000,46.5531,11.8597
Lepcha,Definitely endangered,30000,27.1153,88.4687
Maonan,Vulnerable,30000,24.8341,107.577
"Mok (Myanmar, Thailand)",Definitely endangered,30000,21.7333,99.7666
Moro,Definitely endangered,30000,10.8872,30.1904
Mulam,Vulnerable,30000,24.6341,108.2895
North Saami,Definitely endangered,30000,68.9099,22.9394
Quechua of Cajamarca,Severely endangered,30000,-7.1772,-78.673
Quichua (Pastaza),Definitely endangered,30000,-1.7575,-76.8603
Rushani,Definitely endangered,30000,37.8705,71.5979
Tagin,Vulnerable,30000,28.038,94.2022
Tialo,Vulnerable,30000,0.4888,120.8935
Tidikelt,Critically endangered,30000,26.8828,2.5488
Toba,Definitely endangered,30000,-25.958,-59.0625
Tundra Nenets,Definitely endangered,30000,67.5001,67.7856
Vojvodina Rusyn,Definitely endangered,30000,45.6351,19.1903
Wuse,Vulnerable,30000,24.878,109.1053
Agul,Definitely endangered,29399,41.7518,47.6875
Rutul,Definitely endangered,29383,41.5332,47.3181
Bateri,Definitely endangered,29000,34.9073,72.8675
Mzieme,Vulnerable,29000,25.6019,93.8891
Ghale,Vulnerable,28989,28.2501,84.718
Sierra Popoluca,Vulnerable,28700,18.245,-94.76
Kurux (Nepal),Vulnerable,28615,26.6032,87.2259
Deori,Definitely endangered,28000,27.1911,94.1528
Soyaltepec Mazatec,Vulnerable,27524,18.2499,-96.3995
Western Mazahua,Definitely endangered,27037,19.4372,-100.3552
Sibe,Severely endangered,27000,43.6599,81.3427
Isthmus Náhuatl,Vulnerable,26632,18.2209,-94.8382
Sunwar,Vulnerable,26611,27.3485,86.2337
Mancagne,Vulnerable,26450,12.7743,-15.6967
Gadaba,Critically endangered,26262,18.3858,82.7819
Banat Bulgarian,Definitely endangered,25000,45.4832,20.9069
Csángó Hungarian,Severely endangered,25000,46.7925,27.1911
Koda,Vulnerable,25000,22.1263,87.0776
Minhe Monguor,Definitely endangered,25000,36.4919,102.6452
Miskito (Honduras),Vulnerable,25000,15.3393,-84.6034
